market,year,value
Argentina,2002,14.595359056
Argentina,2003,21.530759141
Argentina,2004,23.171488881
Argentina,2005,20.924879968
Argentina,2006,28.379647088999995
Argentina,2007,30.49079013
Argentina,2008,20.118808958
Argentina,2009,55.37418897699999
Argentina,2010,52.414780794
Argentina,2011,61.069963991000016
Argentina,2012,93.74335129200003
Argentina,2013,93.48125041100002
Argentina,2014,92.49973935000003
Argentina,2015,113.33215731700001
Australia,2002,436.89172697699996
Australia,2003,450.7136469439999
Australia,2004,477.734498041
Australia,2005,552.6481023080001
Australia,2006,578.8438092760001
Australia,2007,595.2522444740002
Australia,2008,583.7169744429999
Australia,2009,571.190791364
Australia,2010,624.2764789800002
Australia,2011,681.266423449
Australia,2012,596.9382011990001
Australia,2013,687.3322455110003
Australia,2014,614.8706871279999
Australia,2015,628.9603035599997
Austria,2002,109.51329462
Austria,2003,128.980634988
Austria,2004,128.65854089299995
Austria,2005,122.257793143
Austria,2006,140.786416167
Austria,2007,163.69116187
Austria,2008,141.65906441600004
Austria,2009,168.772010803
Austria,2010,165.92553487299998
Austria,2011,164.87809062
Austria,2012,153.01341540599998
Austria,2013,142.83758166599998
Austria,2014,145.39774116800007
Austria,2015,152.69029878100005
Bahrain,2011,12.069186924
Bahrain,2012,21.520883024999996
Bahrain,2013,23.936109067000004
Bahrain,2014,19.202672242
Bahrain,2015,11.562628361
Belgium,2002,288.6138012900001
Belgium,2003,306.21036789999994
Belgium,2004,359.22573455699995
Belgium,2005,300.53348135099986
Belgium,2006,342.79421469599987
Belgium,2007,351.08822833499994
Belgium,2008,307.7372220229999
Belgium,2009,349.9166236289999
Belgium,2010,488.81148054200014
Belgium,2011,406.373370059
Belgium,2012,470.31799221199987
Belgium,2013,530.6930997000001
Belgium,2014,490.205149656
Belgium,2015,529.8111867639997
Brazil,2002,64.70641233000002
Brazil,2003,46.13551995200002
Brazil,2004,58.59348563699999
Brazil,2005,65.44075825599998
Brazil,2006,91.48631691800004
Brazil,2007,108.88517896699996
Brazil,2008,150.89464420500005
Brazil,2009,108.44268606799997
Brazil,2010,149.18974625
Brazil,2011,211.282784145
Brazil,2012,215.20779751499992
Brazil,2013,219.95547194800002
Brazil,2014,255.997815108
Brazil,2015,259.638746712
Bulgaria,2008,44.320264249
Bulgaria,2009,55.70139277
Bulgaria,2010,49.265095859
Bulgaria,2011,52.61544012599999
Bulgaria,2012,53.871897102
Bulgaria,2013,55.159902929000005
Bulgaria,2014,71.739023285
Bulgaria,2015,70.26984971799999
Canada,2002,358.33433616800005
Canada,2003,317.24028409499994
Canada,2004,368.86533402800006
Canada,2005,399.2036534009998
Canada,2006,439.5411430050002
Canada,2007,478.147525676
Canada,2008,499.69143672800004
Canada,2009,371.213649843
Canada,2010,389.4524776110001
Canada,2011,428.7708054889999
Canada,2012,402.8562592230001
Canada,2013,434.47924126500004
Canada,2014,359.187932734
Canada,2015,407.53204172400007
Chile,2011,18.697606742999998
Chile,2012,16.651711196999997
Chile,2013,28.986941899999998
Chile,2014,38.009156614
Chile,2015,31.626925320000005
China,2002,39.520290702000004
China,2003,42.630867945000006
China,2004,61.00658490999998
China,2005,58.081053897000025
China,2006,64.77106988300001
China,2007,79.168682084
China,2008,60.107489675000004
China,2009,46.699951595000016
China,2010,55.352449081
China,2011,80.62607251200001
China,2012,104.125517014
China,2013,96.42514362899999
China,2014,98.879508137
China,2015,167.07382965400004
Czech Republic,2002,63.630266074000005
Czech Republic,2003,79.656266543
Czech Republic,2004,126.10342004500002
Czech Republic,2005,106.91572417200003
Czech Republic,2006,112.03087833599996
Czech Republic,2007,134.118388508
Czech Republic,2008,169.69502594899996
Czech Republic,2009,144.812957886
Czech Republic,2010,109.73616490999999
Czech Republic,2011,108.74955594099998
Czech Republic,2012,144.62534684199994
Czech Republic,2013,136.47425049699999
Czech Republic,2014,134.691170811
Czech Republic,2015,166.2559162739999
Denmark,2002,191.42862081899997
Denmark,2003,209.83347041199994
Denmark,2004,238.12045698800006
Denmark,2005,286.6856983179999
Denmark,2006,291.33200356399993
Denmark,2007,312.299082285
Denmark,2008,298.39092804400013
Denmark,2009,332.161131937
Denmark,2010,273.7646143329999
Denmark,2011,340.2379000419999
Denmark,2012,325.727032146
Denmark,2013,378.45346414600004
Denmark,2014,339.44392232800004
Denmark,2015,422.7334180980001
Egypt,2002,19.676177787000007
Egypt,2003,25.033167229
Egypt,2004,21.556451096999997
Egypt,2005,19.483566181000004
Egypt,2006,33.632623029
Egypt,2007,21.840031042000003
Egypt,2008,31.642433169000004
Egypt,2009,30.472555996
Egypt,2010,31.046822862000006
Egypt,2011,29.872413916
Egypt,2012,35.044817822000006
Egypt,2013,39.11707574
Egypt,2014,39.88489869200001
Egypt,2015,38.13918298699999
Finland,2002,66.27873899199999
Finland,2003,59.29279686399999
Finland,2004,78.12335582399999
Finland,2005,97.46617019500002
Finland,2006,102.584148766
Finland,2007,99.40250362600003
Finland,2008,94.937135783
Finland,2009,94.38610871700003
Finland,2010,103.60001514699997
