market,year,visits,spend,nights
Argentina,2002,14.595359056,11.645796946,381.704931824
Argentina,2003,21.530759141,11.891398317,153.825188452
Argentina,2004,23.171488881,11.961477865,222.882036474
Argentina,2005,20.924879968,9.945730848,143.580526039
Argentina,2006,28.379647089,18.108859826,241.002596727
Argentina,2007,30.49079013,13.561095751,193.24384177
Argentina,2008,20.118808958,10.976591989,149.574805918
Argentina,2009,55.374188977,29.554749969,334.597669436
Argentina,2010,52.414780794,34.629544127,334.786282445
Argentina,2011,61.069963991,26.753335965,299.31908584
Argentina,2012,93.743351292,88.447887324,779.509242639
Argentina,2013,93.481250411,48.411256409,425.413666354
Argentina,2014,92.49973935,51.159190423,560.946713705
Argentina,2015,113.332157317,73.246060012,714.647259032
Australia,2002,436.891726977,203.405994314,3058.72203974
Australia,2003,450.713646944,234.717044713,4205.48033209
Australia,2004,477.734498041,240.2440073,3663.48217983
Australia,2005,552.648102308,255.621045035,3943.06351451
Australia,2006,578.843809276,308.023090309,4459.64301881
Australia,2007,595.252244474,328.503942477,4635.56162934
Australia,2008,583.716974443,354.075683491,4207.86027423
Australia,2009,571.190791364,411.227277492,4486.41319389
Australia,2010,624.27647898,432.894774005,4809.24843861
Australia,2011,681.266423449,500.720573211,4639.68286281
Australia,2012,596.938201199,469.668479606,4267.55807341
Australia,2013,687.332245511,547.131245083,5381.18809822
Australia,2014,614.870687128,561.692305239,4608.2017888
Australia,2015,628.96030356,506.38067865,5149.58088564
Austria,2002,109.51329462,46.187891457,560.219160278
Austria,2003,128.980634988,54.610825917,715.239468929
Austria,2004,128.658540893,40.046268686,495.841162563
Austria,2005,122.257793143,45.865800167,573.304512996
Austria,2006,140.786416167,54.209739914,776.018085183
Austria,2007,163.69116187,57.451088185,611.545806178
Austria,2008,141.659064416,66.954949425,757.157958899
Austria,2009,168.772010803,93.032874155,759.70485152
Austria,2010,165.925534873,85.501635234,723.135211146
Austria,2011,164.87809062,79.383250414,869.110876546
Austria,2012,153.013415406,70.083344749,834.034427329
Austria,2013,142.837581666,67.172804096,621.923696208
Austria,2014,145.397741168,78.922753272,705.184427178
Austria,2015,152.690298781,84.488373964,700.888652669
Bahrain,2011,12.069186924,20.054755019,99.834846825
Bahrain,2012,21.520883025,40.387553461,143.563823847
Bahrain,2013,23.936109067,64.237167089,205.774021117
Bahrain,2014,19.202672242,36.067622446,180.631993881
Bahrain,2015,11.562628361,18.326127473,130.633844612
Belgium,2002,288.61380129,70.858193138,866.135183284
Belgium,2003,306.2103679,71.774204579,816.831627566
Belgium,2004,359.225734557,95.800883901,1134.1619467
Belgium,2005,300.533481351,76.659480363,858.933717814
Belgium,2006,342.794214696,117.443666971,1212.93080638
Belgium,2007,351.088228335,105.077229724,1059.95696039
Belgium,2008,307.737222023,98.63806044,961.938566697
Belgium,2009,349.916623629,117.866033172,1291.6650967
Belgium,2010,488.811480542,169.265690498,1634.76384669
Belgium,2011,406.373370059,130.67673779,1139.53199267
Belgium,2012,470.317992212,158.580855134,1336.62819112
Belgium,2013,530.6930997,203.70933471,1512.48808213
Belgium,2014,490.205149656,175.795652652,1683.05372741
Belgium,2015,529.811186764,186.297959069,1417.73758268
Brazil,2002,64.70641233,51.951970087,796.477315022
Brazil,2003,46.135519952,53.39886499,812.646411955
Brazil,2004,58.593485637,38.519156574,853.10808673
Brazil,2005,65.440758256,70.001204386,996.630727308
